,price,size_stand,distance_stand,status,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_False,exterior_True,rooms_0,rooms_1,rooms_2,rooms_3,rooms_4,bathrooms_1,bathrooms_2,bathrooms_3
44,620.0,0.0114430089966669,-0.6443186932065221,699.9968051118205,675.9743824969121,693.4551329954023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
45,550.0,-0.914248739629536,-0.4257721503346601,699.9968051118205,675.9743824969121,693.4551329954023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
46,750.0,-0.5776335583109167,-1.125091524245231,699.9968051118205,701.603661594757,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
47,680.0,-0.19894147932747,-0.8574699375901711,699.9968051118205,678.7599566067489,693.4551329954023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,700.0,-0.409325967651607,1.1347255521328723,685.8023896188589,675.9743824969121,680.5601837397412,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
49,750.0,-1.040479432624018,-0.9350735459822764,685.8023896188589,675.9743824969121,680.5601837397412,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
50,750.0,0.2639043949856314,-0.2503879953685023,699.9968051118205,708.1551527535004,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
51,650.0,0.221827497320804,0.9416773377327023,699.9968051118205,693.7263434514286,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
52,600.0,-0.409325967651607,0.5713972634046575,699.9968051118205,675.9743824969121,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
53,650.0,0.0535199066614944,1.344181386593088,699.9968051118205,705.4866033866903,704.7764683062795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
54,650.0,0.221827497320804,-0.3815011394519258,699.9968051118205,701.603661594757,693.4551329954023,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
55,700.0,-0.6197104559757441,-0.3235571118524872,699.9968051118205,701.603661594757,693.4551329954023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
